Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2020","2020","g/cap/d","40.51","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.93","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2010","2010","t","4390286.76","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2011","2011","t","4347038.31","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2012","2012","t","4476713.8","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2013","2013","t","4497814.63","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2014","2014","t","4502378.45","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2015","2015","t","4530952.72","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2016","2016","t","4568389.37","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2017","2017","t","4610308.28","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2018","2018","t","4665021.59","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2019","2019","t","4709118.57","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2020","2020","t","4967637.95","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2903","Vegetal Products","2021","2021","t","4788057.48","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2010","2010","t","10621697.61","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2011","2011","t","11003036.87","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2012","2012","t","11122292.93","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2013","2013","t","11135758.8","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2014","2014","t","11187234.87","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2015","2015","t","11261247.35","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2016","2016","t","11422307.34","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2017","2017","t","11608428.08","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2018","2018","t","11789079.95","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2019","2019","t","12259666.46","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2020","2020","t","12521000.63","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2903","Vegetal Products","2021","2021","t","12800172.54","E","Estimated value"
